CYP2D6 strong substrates

generic_drug_name,notes,cyp_strength_of_evidence,drug_class,adverse_drug_reactions,first_ref,second_ref,date_checked
carvedilol,n/a,strong,beta_blockers,"chest_pain^^, hypotension^^, cardiac_failure^^, fatigue^^, asthenia^^, upper_RTI^^, bradycardia(dose_dependent)^, edema^, hypervolemia^, orthostatic_hypotension^, hypertension^, syncope^, disturbances_of_peripheral_circulation^, diarrhea^, dyspepsia^, abdominal_pain^, melena^, periodontitis^, UTI^, micturition_disorders^, hematuria^, urinary_incontinence_in_women(pm), weight_increase^, hypercholesterolemia^, impaired_blood_glucose_control(pre_existing_diabetes)^, gout^, BUN_increased^, dehydration^, hypervolemia^, anemia^, purpura^, prothrombin_decrease^, pain_in_extremities^, back_pain^, arthralgia^, myalgia^, dizziness(dose_dependent)^, headache^, hyperesthesia^, vertigo^, visual_impairment^, abnormal_vision(dose_dependent)^, blurred_vision^, lacrimation_decreased^, eye_irritation^, pain^, malaise^, fever^, depression^, sedation^, renal_failure_and_renal_function_abnormalities_(diffuse_vascular_disease_and/or_renal_insufficiency)^, albuminuria^, bronchitis^, pneumonia^, dyspnea^, pulmonary_edema^, asthma^, sinusitis^, pharyngitis^, rhinitis^, cough^, rales^",drugs.com,nzf,130225
chlorpheniramine,n/a,strong,antihistamines,"sedation^^, disturbance_in_attention^, abnormal_coordination^, dizziness^, headache^, blurred_vision^, dry_mouth^, fatigue^",drugs.com,nzf,140225
doxepin,n/a,strong,tricyclic_antidepressants,"sedation^, hypoesthesia(pm), taste_disturbance(pm), dry_mouth^, contipstion^, hypertension^, arrhythmia(pm), conduction_disorder(pm),  gastroenteritis^, tongue_edema(pm), upper_abdominal_pain(pm), upper_RTI^, malaise(pm)",drugs.com,emc,140225
eliglustat,n/a,strong,metabolic_agents,"diarrhea^^, oropharyngeal_pain^^, arthralgia^^, back_pain^^, pain_in_extremity^^, upper_abdominal_pain^^, headache^^, migraine^^, fatigue^^, rash^, flatulence^, dyspepsia^, gastroesophageal_reflux_disease^, constipation^, palpitations^, dizziness^, asthenia^, cough^",drugs.com,emc,151124
nortriptyline,*,strong,tricyclic_antidepressants,"dry_mouth, blurred_vision, constipation, urinary_retention, anxiety, dizziness, agitation, confusion, sleep_disturbances, irritability, paraesthesia, drowsiness, changes_in_blood_glucose, increased_appetite, weight_gain, anorexia, weight_loss, hyponatraemia, taste disturbance, tinnitus, urticaria, pruritus, alopecia, galactorrhoea, gynaecomastia, Brugada_syndrome(pm), angle_closure_glaucoma(pm)",nzf,drugs.com,170225
ondansetron,n/a,strong,antiemetics,"headache^^, sedation^^, wound_problem^^, fatigue^^, diarrhea^^, constipation^^, eye_disorder^^, dizziness^, paresthesia^, shivers^, fever^, cold_sensation^, xerostomia^, localized_anal/rectal_burning_sensation^, visual_disturbance/transient_visual_disturbances^, sensation_of_warmth/flushing^, bradycardia^, hypotension^, arrhythmias^, cardiopulmonary_arrest(pm), shock(pm), hypoxia^, lower_respiratory_tract_disease^, expectoration^, cough^, shortness_of_breath(pm), laryngeal_edema(pm), stridor(pm), laryngospasm(pm), anxiety/agitation^, disturbance_in_behavior^, sleep_disturbance^, gynecological_disorder^, urinary_retention^, UTI^, rash^, pruritus^, asymptomatic_increases_in_AST/ALT^, liver_failure_and_death(pm_hep_cyto), angioedema(pm)",drugs.com,nzf,101224
oxycodone,n/a,strong,opioid_analgesics,"headache^^, constipation^^, fever^^, dizziness^, serotonin_syndrome(pm), hyperalgesia(pm), allodynia(pm), pruritus^, hyperhidrosis^, rash^, dysuria^, urinary_retention^, anaphylaxis(pm), decreased_appetite^, hypoglycemia(pm), adrenal_insufficiency(pm), androgen_deficiency(pm)",drugs.com,nzf,211124
perhexiline,*,strong,antianginal,"dizziness^^, headache^^, ataxia^^, weight_loss^^, hepatoxicity^, peripheral_neuropathy^, weakness^, tremors^, fainting^, hypoglycaemia^, hyperlipidaemia^, QT_prolongation^", nzf,data_sheet,190225
tetrabenzine,n/a,strong,movement_disorder_agent,"any_extrapyramidal_event^^, sedation^^, akathisia^^, parkinsonism^^, fatigue^^, fall^^, insomnia^^, depression^^, anxiety^^, upper_RTI^^, balance_difficulty^, dizziness^, dysarthria^, unsteady_gait^, headache^, tremor(pm), head_laceration^, irritability^, obsessive_reaction^, agitation^, confusion^, worsening_aggression(pm), dysphagia_choking_attacks^, constipation^, diarrhea^, shortness_of_breath^, bronchitis^, pneumonia(pm), hypotension^, ecchymosis^, hyperhidrosis(pm), rash(pm), dysuria^, decreased_appetite^",drugs.com,nzf,190225
tramadol,n/a,strong,opioid_analgesics,"nervousness^^, anxiety^^, agitation^^, tremor^^, spasticity^^, euphoria^^, emotional_lability^^, hallucinations^^, constipation^^, dyspepsia^^, dizziness^^, sedation^^, headache^^, pruritus^^, flushing^^, asthenia^^, anxiety^, euphoria^, nervousness^, sleep_disorder^, insomnia^, depression^, agitation^, apathy^, dry_mouth^, diarrhea^, abdominal_pain^, flatulence^, sore_throat^, gastroenteritis^, confusion^, coordination_disturbance^, tremor^, paresthesia^, hypoesthesia^, seizures(pm), serotonin_syndrome(pm), sweating^, dermatitis^, menopausal_symptoms^, urinary_frequency^, urinary_retention^, UTI^, vasodilation^, postural_hypotension^, chest_pain^, QT_prolongation(pm), malaise^, weakness^, pain^, influenza_like_illness^, rigors^, lethargy^, fever^, anorexia^, decreased_weight^, hyperglycemia^, hyponatremia(pm), adrenal_insufficiency(pm), androgen_deficiency(pm), miosis^, visual_disturbance^, blurred_vision^, hypertonia^, arthralgia^, back_pain^, limb_pain^, neck_pain^, muscle_cramps^, respiratory_depression(dose-dependent)^, joint_stiffness^, muscle_twitching^, myalgia^, aggravated_osteoarthritis^",drugs.com,nzf,200225
