generic_drug_name,notes,cyp_strength_of_evidence,drug_class,adverse_drug_reactions,first_ref,second_ref,date_checked
carbamazepine,n/a,strong,antiepileptics,"constipation^^, leucopenia^^, dizziness^^, somnolence^^, ataxia^^, elevated_GGT^^, allergic_skin_reactions^^, eosinophilia^, thrombocytopenia^, neutropenia^, headache^, tremor^, elevated_ALP^, pruritus^, paresthesia^, diplopia^, blurred_vision^, hyponatremia^, fluid_retention^, oedema^, weight_gain^, reduced_plasma_osmolarity_(ADH_like_effect)^, vertigo^",drugs.com,nzf,211024
eliglustat,n/a,strong,metabolic_agents,"diarrhea^^, oropharyngeal_pain^^, arthralgia^^, back_pain^^, pain_in_extremity^^, upper_abdominal_pain^^, headache^^, migraine^^, fatigue^^, rash^, flatulence^, dyspepsia^, gastroesophageal_reflux_disease^, constipation^, palpitations^, dizziness^, asthenia^, cough^",drugs.com,emc,151124
flibanserin,n/a,strong,CNS_agents,"dizziness^^, somnolence^^, sedation^, fatigue^, vertigo^, accidental_injury^, insomnia^, anxiety^, dry_mouth^, constipation^, metrorrhagia^, abdominal_pain^, anaphylaxis(pm), angioedema(pm), pruritus(pm), urticaria(pm)",drugs.com,Drugs@FDA,161124
imatinib,n/a,strong,tyrosine_kinase_inhibitor,"rash^^, diarrhea^^, abdominal_pain^^, constipation^^, dyspepsia^^, hemorrhage^^, neutropenia^^, thrombocytopenia^^, anemia^^, influenza^^, weight_gain^^, muscle_spasm/cramps^^, musculoskeletal_pain^^, joint_pain^^, myalgia^^, bone_pain^^, headache^^, dizziness^^, periorbital_edema^^, edema^^, fatigue^^, fever^^, insomnia^^, depression^^, nasopharyngitis^^, cough^^, upper_respiratory_tract infection^^, pharyngolaryngeal_pain^^, sinusitis^^, flushing^, pruritus^, face_edema^, dry skin^, erythema^, alopecia^, night_sweats^, photosensitivity_reaction^, flatulence^, abdominal_distension^, gastroesophageal_reflux^, dry_mouth^, gastritis^, pancytopenia^, febrile_neutropenia^, increased_hepatic_enzymes^, anorexia^, weight_loss^, joint_swelling^, paresthesia^, hypoesthesia^, eyelid_edema^, lacrimation_increased^, conjunctival_hemorrhage^, conjunctivitis^, dry_eye^, blurred_vision^, taste_disturbance^, weakness^, generalized_edema^, rigors^, dyspnea^, epistaxis^",drugs.com,nzf,181124
ibrutinib,n/a,strong,tyrosine_kinase_inhibitor,"hypertension^^, atrial_fibrillation^^, sinus_tachycardia^^,  rash^^, skin_infection^^, pruritus^^, diarrhea^^, stomatitis^^, abdominal_pain^^, constipation^^, dyspepsia^^, gastroesophageal_reflux_disease^^, UTI^^, decreased_platelets^^, neutropenia^^, decreased_neutrophils^^, decreased_hemoglobin^^, thrombocytopenia^^, hemorrhage^^, anemia^^, lymphocytosis^^, increased_bilirubin^^, increased_AST^^, increased_ALT^^, hepatic_failure(pm), hepatic_cirrhosis(pm), hepatitis_B_reactivation(pm), hepatotoxicity(pm), hypogammaglobulinemia^^, hyperuricemia^^, decreased_appetite^^, hypokalemia^^, musculoskeletal_pain^^, arthralgia^^, muscle_spasms^^, osteonecrosis^^, headache^^, dizziness^^, peripheral_neuropathy(pm)^^, dry_eye^^, blurred_vision^^, increased_lacrimation^^, reduced_visual_acuity^^, conjunctivitis^^, eye_hemorrhage(pm), second_malignancies^^, fatigue^^, fever^^, peripheral_edema^^, pain^^, infections^^, fall^^, asthenia^^, chills^^, sepsis^^, decreased_weight^^, insomnia^^, increased_blood_creatinine^^, upper_RTI^^, cough^^, pneumonia^^, dyspnea^^, sinusitis^^, oropharyngeal_pain^^, bronchitis^^, nasopharyngitis^^, influenza^^, viral_upper_RTI^^, atrial_flutter^, cardiac_failure(pm)^, ventricular_tachyarrhythmias(pm)^, deaths_due_to_cardiac_causes^, erythema(pm)^, urticaria(pm)^, angioedema(pm), Stevens_Johnson_syndrome(pm), onychoclasis(pm), panniculitis(pm), neutrophilic_dermatoses(pm), major_hemorrhage^, febrile_neutropenia^, leukocytosis^,  anaphylactic_shock(pm), tumor_lysis_syndrome(pm)^, hyponatremia^, ischemic_cerebrovascular_events(pm)^, non_melanoma_skin_cancer^, non_skin_carcinomas^, basal_and_squamous_cell_carcinomas^, epistaxis^, interstitial_lung_disease(pm)",drugs.com,nzf,191124
neratinib,n/a,strong,tyrosine_kinase_inhibitor,"diarrhea^^, abdominal_pain^^, stomatitis^^, dyspepsia^^, fatigue^^, rash^^, decreased_appetite^^, muscle_spasms^^, abdominal_distention^, dry_mouth^, nail_disorder^, skin_fissures^, decreased_weight^, dehydration^, UTI^, increased_ALT^, increased_AST^, epistaxis^",drugs.com,nzf,201124
esomeprazole,n/a,strong,proton_pump_inhibitors,"headache^^, flatulence^^, dizziness^, somnolence^, taste_disturbance/perversion^, vertigo^, abdominal_pain^, benign_fundic_gland_polyps(pm)^, constipation/constipation_aggravated^, diarrhea(c_diff_related_pm)^, dry_mouth^, duodenal_ulcer_hemorrhage^, epigastric_pain/aggravated_epigastric_pain^, gastritis/aggravated_gastritis(pm)^, pancreatitis(pm), regurgitation^, tooth_disorder^, cough^, respiratory_infection^, sinusitis^, tachypnea_(children)^, accident/injury^, fever^, pruritus^, cutaneous_lupus_erythematosus(pm), systemic_lupus_erythematosus(pm), hypertension/aggravated_hypertension^, back_pain^, bone_fracture(pm), increased_serum_gastrin^, viral_infection^, ALT_increased^, irreversible_visual_impairment(pm), loss_of_vision(pm), acute_interstitial_nephritis(pm), impaired_renal_function(pm), increased_creatinine(pm), nephrosis(pm)",drugs.com,emc,161124
omeprazole,n/a,strong,proton_pump_inhibitors,"fever^^, otitis_media^^, respiratory_system_reactions^^, taste_disturbance^^, diarrhea^^, accidental_injury^, asthenia^, pain(pm), fatigue(pm), tinnitus(pm), cough^, pharyngitis/pharyngeal_pain^, rhinitis^, upper_respiratory_infection^, epistaxis(pm), dizziness^, drowsiness^, headache^, somnolence^, tremor(pm), abdominal_pain^, acid_regurgitation^, benign_fundic_gland_polyps^, constipation^, flatulence^, tongue_discoloration^, abdominal_swelling(pm), c_diff_associated_diarrhea(pm), esophageal_candidiasis(pm), fecal_discoloration(pm), fundic_gland_polyps(pm), irritable_colon(pm), mucosal_atrophy_of_the_tongue(pm), pancreatitis(pm), rash^, cutaneous_lupus_erythematosus(pm), dry_skin(pm), hyperhidrosis(pm), petechia(pm), skin_inflammation(pm), severe_generalized_skin_reactions(pm), systemic_lupus_erythematosus(pm), back_pain^, bone_fracture(pm), leg_pain(pm), muscle_cramps(pm), insomnia^, anxiety(pm), apathy(pm), dream_abnormalities(pm), nervousness(pm), psychiatric_and_sleep_disturbances(pm), flu_syndrome^, cholestatic_disease(pm), fatal_hepatic_failure(pm), hepatocellular_disease(pm), jaundice(pm), liver_disease(pm), liver_necrosis(pm), mixed_hepatitis(pm), bradycardia(pm), angina(pm), hypertension(pm), palpitations(pm), tachycardia(pm), anemia(pm), fatal_agranulocytosis(pm), hemolytic_anemia(pm), leukocytosis(pm), neutropenia(pm), purpura(pm), anaphylaxis(pm), anorexia(pm), cyanocobalamin_deficiency(pm), hypoglycemia(pm), elevated_serum_creatinine(pm), glycosuria(pm), anterior_ischemic_optic_neuropathy(pm), double_vision(pm), dry_eye_syndrome(pm), ocular_irritation(pm), optic_atrophy(pm), optic_neuritis(pm), hematuria(pm), microscopic_pyuria(pm), proteinuria(pm), testicular_pain(pm), urinary_frequency(pm), UTI(pm), gastroduodenal_carcinoids(ZE_syndrome,pm)",drugs.com,nzf,181124
ivacaftor,n/a,strong,CFTR_potentiator,"rash^^, oropharyngeal_pain^^, abdominal_pain^^, diarrhea^^, transaminase_elevations^^, headache^^, fever^^, upper_RTI^^, nasal_congestion^^, nasopharyngitis^^, cystic_fibrosis_lung^^, cough^^, abnormal_breathing_sounds^^, acne^, increased_hepatic_enzymes^, increased_blood_glucose^, arthralgia^, musculoskeletal_chest_pain^, myalgia^, dizziness^, sinus_headache^, bacteria_in_sputum^, ear_pain^, tinnitus^, tympanic_membrane_hyperemia^, ear_congestion^, rhinitis^, pharyngeal_erythema^, pleuritic_pain^, sinus_congestion^, wheezing^, breast_mass^, non_congenital_lens_opacities/cataracts(pm)",drugs.com,nzf,201124
naloxegol,n/a,strong,peripheral_opioid_receptor_antagonists,"abdominal pain^^, possible_opioid_withdrawal_syndrome^, diarrhea^, flatulence^, hyperhidrosis^, headache^, nasopharyngitis^",drugs.com,emc,211124
